P,TV0
0.0,0.0
P,TV0
0.02,1291.6497528875334
P,TV0
0.01,649.0866182439878
P,TV0
0.03,1927.689403930637
0.04,2557.2055713732984
0.05,3180.198255215518
0.06,3796.6674554572946
0.07,4406.6131720986305
0.08,5010.035405139523
0.09,5606.934154579974
0.1,6197.309420419984
0.11,6781.16120265955
0.12,7358.489501298674
0.13,7929.2943163373575
0.14,8493.5756477756
0.15,9051.333495613397
0.16,9602.567859850755
0.17,10147.278740487669
0.18,10685.466137524138
0.19,11217.13005096017
0.2,11742.270480795758
0.21,12260.887427030904
0.22,12772.980889665607
0.23,13278.550868699871
0.24,13777.59736413369
0.25,14270.120375967068
0.26,14756.119904200004
0.27,15235.595948832499
0.28,15708.548509864548
0.29,16174.977587296155
0.3,16634.883181127323
0.31,17088.26529135805
0.32,17535.123917988334
0.33,17975.459061018173
0.34,18409.270720447574
0.35,18836.55889627653
0.36,19257.32358850504
0.37,19671.564797133113
0.38,20079.28252216075
0.39,20480.476763587936
0.4,20875.14752141468
0.41,21263.294795640984
0.42,21644.91858626685
0.43,22020.01889329227
0.44,22388.595716717246
0.45,22750.649056541784
0.46,23106.178912765878
0.47,23455.185285389525
0.48,23797.668174412735
0.49,24133.627579835505
0.5,24463.06350165783
0.51,24785.975939879714
0.52,25102.364894501152
0.53,25412.230365522155
0.54,25715.57235294271
0.55,26012.390856762824
0.56,26302.685876982498
0.57,26586.457413601725
0.58,26863.705466620515
0.59,27134.430036038866
0.6,27398.631121856768
0.61,27656.30872407423
0.62,27907.46284269125
0.63,28152.09347770783
0.64,28390.200629123967
0.65,28621.784296939662
0.66,28846.844481154913
0.67,29065.381181769724
0.68,29277.39439878409
0.69,29482.884132198014
0.7,29681.8503820115
0.71,29874.29314822454
0.72,30060.212430837142
0.73,30239.6082298493
0.74,30412.480545261016
0.75,30578.829377072285
0.76,30738.65472528312
0.77,30891.95658989351
0.78,31038.73497090346
0.79,31178.989868312958
0.8,31312.72128212202
0.81,31439.929212330644
0.82,31560.61365893882
0.83,31674.77462194656
0.84,31782.412101353853
0.85,31883.526097160706
0.86,31978.116609367116
0.87,32066.18363797308
0.88,32147.72718297861
0.89,32222.747244383692
0.9,32291.243822188335
0.91,32353.216916392535
0.92,32408.666526996294
0.93,32457.59265399961
0.94,32499.99529740248
0.95,32535.874457204918
0.96,32565.2301334069
0.97,32588.062326008447
0.98,32604.371035009557
0.99,32614.15626041022
1.0,32617.418002210437
