P,mean_price,min_price,max_price,25th_percentile_price,75th_percentile_price
0.0,nan,nan,nan,nan,nan
0.03,27.904829814896168,24.75611125675036,29.085564481662665,27.540663022039702,28.656528228587003
0.01,28.682020511410194,25.26026293191677,29.670636218968255,28.48069303462303,29.295270422147215
0.02,28.281099312131126,25.008187094333564,29.378100350315457,27.957761188159715,28.982313219492084
0.04,27.520703534272922,24.504035419167153,28.79302861300987,27.0525025943276,28.288240869716013
0.05,27.15424097961657,24.251959581583947,28.500492744357075,26.67898942272253,27.937690400023193
0.07,26.415748760193033,22.728319553709596,27.91542100705149,25.847160167277202,27.370631291982118
0.06,26.793087119358404,23.73420926129687,28.207956875704284,26.283227689393424,27.66641151670043
0.08,26.053011327046022,21.72242984612233,27.622885138398694,25.40340499533471,27.125722306771202
0.09,25.68670209245462,20.71654013853506,27.330349269745902,24.95341259103327,26.8550662756872
0.1,25.385377858315294,20.72879859953763,27.037813401093114,24.613557932113437,26.564316233273992
0.11,25.18615094367403,20.90812626641953,26.74796903277062,24.505729640647708,26.316587241525554
0.12,24.85810828192267,20.12447934866514,26.464076995088128,24.087330562833216,26.023907270412167
0.13,24.55870748628202,21.137014291981167,26.180184957405622,23.606347063145197,25.75449342148618
0.14,24.276120757323035,20.49326422465772,25.896292919723123,23.2345916968002,25.46049774988016
0.15,23.977567289594027,19.849514157334276,25.64338869034389,22.808623586388784,25.168385391770244
0.16,23.73885541116209,19.783936530551955,25.526215078451223,22.63824825703642,24.843183856191107
0.17,23.475514873236683,20.937001228643574,25.409041466558556,22.096986007161163,24.548333637830257
0.18,23.194781694806917,20.492869365433847,25.291867854665888,22.30196533745022,24.248695760989026
0.19,22.81973941119483,19.9989519266432,24.487210931473665,21.914556231043417,23.74594197553443
0.2,22.56743345394856,19.505034487852562,24.20739972190649,21.7444424921743,23.511661005140887
0.21,22.262315064862683,19.011117049061916,23.927588512339312,21.425262305999215,23.29417550385794
0.22,21.977548804624927,18.85372180778989,23.647777302772127,21.196624289564845,22.95856736550836
0.23,21.7297018207563,18.723039493426363,23.36796609320495,20.911988302423552,22.688348505675748
0.24,21.476812758522403,18.24248354212087,23.08815488363777,20.71449535748546,22.389653556902232
0.25,21.23161148806381,18.9618022159726,22.808343674070585,20.4828416115796,22.040137102960024
0.26,21.00973738848775,18.6282130196323,22.495926314463972,20.533102409065343,21.753447941543424
0.27,20.834776000152836,18.618018981455712,22.218418168287506,20.272272823204332,21.48552488104421
0.28,20.55433432992027,18.348735526179553,21.94091002211104,20.000345963967554,21.188629519863724
0.29,20.313722987042766,18.079452070903386,21.66340187593458,19.85760008975081,20.934886604994382
0.3,20.015701327268808,17.707566723087833,21.385893729758116,19.552399819219197,20.655254777171322
0.31,19.749035045555583,17.54088516035106,21.108385583581647,19.163173636779163,20.37711585991981
0.32,19.471102636413935,17.2716017050749,20.83087743740518,18.85530431218758,20.10049749545413
0.33,19.24596735516233,17.193836129254223,20.553369291228712,18.725478375481483,19.88118729929186
0.34,19.007867328044057,17.03293168174293,20.088665498587233,18.48026575661974,19.611734942660114
0.35,18.813680716177057,17.534335207398954,19.81800946750323,18.208454259645382,19.423831728443986
0.36,18.516850719983122,17.309128842275168,19.457417783099125,17.921207549032143,19.094232367995843
0.37,18.325466057547917,17.13602876095937,19.17753940784077,17.651183986461334,18.919932292775133
0.38,18.131010663103016,17.21391242383366,19.018755127779073,17.46978391569837,18.6696484489256
0.39,17.792453426934372,17.009274651720798,18.918496493320177,17.262609470638743,18.32022089975625
0.4,17.62020640850796,16.70535034747458,18.818237858861288,17.234672014315915,18.104431300705848
0.41,17.356121077321827,16.401426043228376,18.7179792244024,17.09668878830876,17.75426511759173
0.42,16.961285875817396,16.097501738982164,17.77814753154898,16.607223883896374,17.365050801375272
0.43,16.84302850165992,16.113012586546034,17.49826915629062,16.579435852731393,17.376783182213458
0.44,16.708046506115334,15.796915324867284,17.218390781032262,16.481093999589117,17.11848074245098
0.45,16.486098070280082,15.99336461571984,16.938512405773906,16.18887370425898,16.84948022174911
0.46,16.207770092989573,15.68923318086304,16.65863403051555,15.947496783360242,16.53428099461156
0.47,16.148486241656443,15.931433185069627,16.378755655257187,15.957924414855789,16.33243988995013
0.48,15.946211996373007,15.68770287778048,16.098877279998838,15.86987935456009,16.07546655566927
0.49,15.597880645970697,15.408650930776448,15.787110361164947,15.503265788373572,15.692495503567823
0.5,15.522164890990195,15.522164890990195,15.522164890990195,15.522164890990195,15.522164890990195
0.51,15.257219420815451,15.257219420815451,15.257219420815451,15.257219420815451,15.257219420815451
0.52,nan,nan,nan,nan,nan
0.53,nan,nan,nan,nan,nan
0.54,nan,nan,nan,nan,nan
0.55,nan,nan,nan,nan,nan
0.56,nan,nan,nan,nan,nan
0.57,nan,nan,nan,nan,nan
0.58,nan,nan,nan,nan,nan
0.59,nan,nan,nan,nan,nan
0.6,nan,nan,nan,nan,nan
0.61,nan,nan,nan,nan,nan
0.62,nan,nan,nan,nan,nan
0.63,nan,nan,nan,nan,nan
0.64,nan,nan,nan,nan,nan
0.65,nan,nan,nan,nan,nan
0.66,nan,nan,nan,nan,nan
0.67,nan,nan,nan,nan,nan
0.68,nan,nan,nan,nan,nan
0.69,nan,nan,nan,nan,nan
0.7,nan,nan,nan,nan,nan
0.71,nan,nan,nan,nan,nan
0.72,nan,nan,nan,nan,nan
0.73,nan,nan,nan,nan,nan
0.74,nan,nan,nan,nan,nan
0.75,nan,nan,nan,nan,nan
0.76,nan,nan,nan,nan,nan
0.77,nan,nan,nan,nan,nan
0.78,nan,nan,nan,nan,nan
0.8,nan,nan,nan,nan,nan
0.79,nan,nan,nan,nan,nan
0.81,nan,nan,nan,nan,nan
0.82,nan,nan,nan,nan,nan
0.83,nan,nan,nan,nan,nan
0.84,nan,nan,nan,nan,nan
0.85,nan,nan,nan,nan,nan
0.86,nan,nan,nan,nan,nan
0.87,nan,nan,nan,nan,nan
0.88,nan,nan,nan,nan,nan
0.89,nan,nan,nan,nan,nan
0.91,nan,nan,nan,nan,nan
0.9,nan,nan,nan,nan,nan
0.92,nan,nan,nan,nan,nan
0.93,nan,nan,nan,nan,nan
0.94,nan,nan,nan,nan,nan
0.95,nan,nan,nan,nan,nan
0.96,nan,nan,nan,nan,nan
0.97,nan,nan,nan,nan,nan
0.98,nan,nan,nan,nan,nan
0.99,nan,nan,nan,nan,nan
1.0,nan,nan,nan,nan,nan
