Central Planning Mean,Smart Market Mean ,Bilateral Market Mean,Smart Market Proportional Mean
-3.86730644151588e-09,0.0,0.0,0.0
293.2134836369316,184.2991126945637,119.2233350814501,60.45617490856705
779.9694270160725,399.22128972440146,203.08901035913493,113.49821031105876
1125.213847535482,553.799955984699,352.28808875588857,160.4078848742481
1440.1180277132366,705.8833911279601,399.8998207632328,201.10915485044234
1714.9024432531205,847.3024604328232,326.20358258316264,236.40220897915742
1960.4745271273978,966.7740643614093,577.08703489462,265.9527501585653
2081.2037906764485,968.5320672182843,540.8854523406803,289.14968347951253
2474.408571754688,1103.1567336001308,635.0218812194198,307.07214984247366
2792.9430965482675,1301.4026860052263,843.4655566520833,321.41627362421787
2969.022473744679,1378.0170650849172,883.6231834370196,336.92568529210257
3169.4937170671956,1552.0912940890403,1176.4850557336622,356.73505781328004
3333.6697761817804,1661.9904519161373,893.4421408938051,360.63791341076467
3455.3056374851226,1655.0787414066108,1004.3948835120009,368.06022909530384
3487.93668661299,1646.207720883178,853.3221627041266,374.8282327500747
3725.5626060727327,1780.9953225844256,1274.616834586148,369.4505142250073
3963.2362125080826,1906.2731698293683,1092.0919435754458,368.0483309330066
4262.15049147068,2026.6800439558401,1442.1612438950015,363.68474146673543
4374.570581887825,2107.2173810995373,1241.3320613472697,354.02959681434186
4392.547930536644,2154.4577899212536,1386.4062166983322,344.42673835388814
4620.754541578431,2191.834647873896,1322.7412941585562,341.20755773355813
4617.925155116394,2118.7016128959085,1321.568789745721,328.0051808931639
4770.3836615500895,2113.6808078443537,1525.9401000175894,313.85520320280375
4886.817666301137,2108.8194257039213,1552.5344490505795,301.3851724528922
5087.628105953986,2175.60128147099,1369.6470122924238,294.54611570741326
5148.1734952979705,2326.7749186423807,1292.7197410213266,289.2221078628736
5294.692382248459,2297.2507708246867,1597.3395543421684,285.9205148291803
5372.3220993535415,2299.1885181665784,1766.14790141513,277.68097885109637
5372.407063238381,2309.4678528149325,1577.2633572729646,259.99960892934723
5587.5886944090435,2441.360732271549,1875.0197554080205,240.19491258115886
5692.541654755983,2446.181636584044,1731.1247789777462,221.16337686088445
5789.833440126797,2413.017147680097,2058.6762724684177,204.32856863023335
5896.08081592882,2516.576232575022,1787.7397680358972,183.96123304102002
6163.992287401868,2743.190456247481,2137.0270298543437,164.41263974098183
6285.595640617581,2739.418149997251,2384.2919006689026,142.80404689003626
6339.7074078962705,2764.595912748966,1970.8532443662953,124.85999548571272
6395.936877916956,2798.5377836987354,1961.78712097891,109.50788488338367
6445.260408417227,2800.2173821811884,1874.415756762115,94.31851993762393
6507.951261378869,2836.202836229748,2059.3032334175223,78.50421045823896
6519.0985459278145,2821.733244809322,2069.9074648069745,66.38703625916241
6534.262113554143,2818.8743588444304,1937.840192605423,53.37732123108799
6480.078548615726,2778.9427055243723,2049.2361578122855,41.36596592514252
6723.6697006505865,2956.6193039282043,2139.281274281151,32.80077265901127
6792.126909273897,3102.146755175063,2010.4488735126197,23.69550547961262
6791.753409193407,3095.9644217829664,2206.930831150574,20.936577013053466
6827.3225543442095,3109.664441237932,2354.2107355323533,16.42009422145202
6774.015670899232,3035.5054324671946,2234.691924868868,8.851639607761172
6834.437621407704,2998.8606986950435,2130.8374831711153,8.84556334908848
7009.740458001483,3044.977478518058,2261.324527147257,5.58900322887348
7008.829910057341,3000.3705682573964,2151.4061784019614,3.1116088887320075
6913.202376811063,2973.0787133543163,2237.8862509341816,1.150757000399608
6730.633962164296,2846.072493963704,2198.6264617513734,0.24948561971905292
6673.048617071387,2761.1452285274754,2357.825059671719,0.0
6455.472031864347,2601.506209251358,1869.1938502607627,0.0
6485.883874947053,2598.5140292012547,2169.520002095229,0.0
6549.69515225479,2650.7148316200437,1991.919757366788,0.0
6522.8914811416635,2597.0198158153034,1973.343565910698,0.0
6498.298328762042,2598.078568003606,1997.4366134121155,0.0
6408.190455218677,2567.6608751166423,1900.764674896509,0.0
6301.51265744449,2479.093716143183,2005.1411467826001,0.0
6335.597493337987,2633.6340237001714,1890.2871726163066,0.0
6130.492870280228,2552.7674770142803,1786.92176703129,0.0
6061.413575808768,2567.4576576888758,1894.2558061446762,0.0
5991.668859476837,2521.548902203627,1726.3814109868254,0.0
6004.487285098244,2498.0231465300167,1888.015217190823,0.0
5864.809020289304,2395.3111286613857,1891.8111345684883,0.0
5843.768823188998,2355.264943384009,1719.9889094495084,0.0
5828.2513175663635,2397.3061376098194,1835.6604397512347,0.0
5763.690894231475,2348.4167862407303,1967.257840805174,0.0
5735.350746060375,2309.176135963371,1687.0197700648569,0.0
5688.956385488663,2352.603919628644,1840.5325510038747,0.0
5508.71435473653,2251.1918946336045,1610.248567525934,0.0
5426.784309105886,2279.3347812924076,1722.2938203454578,0.0
5464.627160253191,2306.880524414373,1588.7565715160708,0.0
5288.57978733689,2241.9367480381916,1655.5661289304844,0.0
5204.508113561033,2230.285212890496,1821.577033667727,0.0
4990.988444873444,2102.260083842528,1674.3377823996307,0.0
4750.1383711697745,2019.425178649366,1316.5495066280855,0.0
4635.009560521498,1953.1142676223317,1323.3296886646276,0.0
4405.864034554466,1845.8678961561745,1376.0235614506055,0.0
4368.3075549048135,1917.9362639240462,1239.8554247704305,0.0
4297.914798543836,1875.5067998511695,1096.0638668212887,0.0
4153.763227453914,1897.6200230512732,1364.4484372317347,0.0
4024.85392769816,1760.0786588150586,1169.3055781300027,0.0
3820.6148214482105,1710.738759398082,1034.5475062976911,0.0
3624.881762130818,1640.9840177983278,1052.830521343043,0.0
3385.910818937195,1532.2908582206692,944.8121276890706,0.0
3233.8075880126535,1520.6526783465888,988.5897735821054,0.0
2797.649989947123,1269.154687978349,848.7668205832997,0.0
2529.982065794703,1139.4261069928907,671.5927008304279,0.0
2436.511324964198,1100.8328299191344,720.5509589378053,0.0
2293.807091572655,1061.4030466899785,534.9269993575472,0.0
2178.7923702732282,1013.9749380264766,532.6271431709465,0.0
1834.8850279201806,852.9445743115793,509.554515458025,0.0
1611.3380479988812,774.5156539033378,546.7551267079107,0.0
1431.6933219092432,704.3144000102875,515.2446033881643,0.0
1170.3169257774216,547.6510947076713,354.0405933428192,0.0
866.9211604849781,395.59846368711806,353.3384956187656,0.0
622.8946149428359,293.49670597692966,197.03134718754518,0.0
396.740951198026,198.80510866044642,82.71261589643473,0.0
-0.00015066956196108094,0.0,0.0,0.0
