P,TV0
0.0,0.0
0.01,198.9606707749253
0.02,587.546016210023
0.03,826.7833556930746
0.04,1142.3049526803945
0.05,1464.9425024012896
0.07,2166.9225355009876
0.06,1916.1817618578443
0.08,2660.186658161075
0.09,2931.750240279135
0.1,3345.934148911904
0.11,3597.0927402875914
0.12,3863.651769224507
0.14,4509.705944948781
0.15,4789.737198357998
0.13,4213.568382724572
0.16,5097.9136290218885
0.17,5505.010897270573
0.18,5888.65544485224
0.19,6117.308042300546
0.2,6478.922989708329
0.21,6848.015971995507
0.22,7126.67189445755
0.23,7493.7372887035235
0.24,7835.8042562182345
0.25,8124.704898274949
0.26,8670.608769927565
0.27,9036.213148301413
0.28,9244.802092626614
0.29,9658.443369483126
0.3,9852.206955097017
0.31,10128.246942831302
0.32,10430.68941465817
0.33,10880.502687108463
0.34,11108.825750901651
0.35,11466.037914897268
0.36,11542.700779800307
0.37,12215.683612296794
0.38,12539.577569469013
0.39,12779.949712507429
0.4,13093.376073496476
0.42,13891.52192189289
0.41,13555.113023079557
0.43,14187.381648718141
0.44,14480.92745836638
0.45,14779.500985811232
0.46,14988.150834972359
0.47,15264.516423578305
0.48,15613.826222640402
0.49,16066.450725340994
0.51,16754.3710498394
0.5,16415.758042926103
0.52,17165.55088558474
0.53,17527.805825448402
0.55,18177.057673488714
0.56,18469.662286698716
0.57,18904.852493346167
0.54,17596.484758645387
0.58,19193.398503352382
0.59,19575.502725808805
0.6,19771.973523296747
0.62,20317.08531971511
0.61,20089.505080582403
0.63,20757.75475745948
0.65,21363.097668504066
0.66,21761.455979798957
0.67,21913.314375241105
0.68,22304.032214409457
0.64,21019.796281972864
0.69,22745.468484778987
0.7,22936.49639892627
0.73,23822.981675856718
0.74,24174.222242756652
0.72,23528.231206638284
0.71,23319.579299347195
0.76,24751.559849569174
0.77,25199.62584882966
0.75,24337.1542823148
0.78,25475.578087820722
0.79,25913.064831266514
0.8,26087.610649217706
0.81,26492.097117426576
0.82,26823.098738588084
0.84,27475.112769622152
0.85,27762.600514708698
0.83,27122.77171254519
0.88,28816.35855868245
0.86,28089.167704654854
0.87,28329.182634783334
0.89,29160.138965005353
0.91,29719.34172626867
0.9,29390.641692316975
0.92,29953.702322069003
0.93,30403.85752146682
0.94,30666.758014137617
0.95,30920.224297773286
0.96,31266.391670610745
1.0,32617.418002210437
0.97,31586.54651360119
0.99,32181.930694822284
0.98,31937.177492847222
