Bilateral Market Min,Bilateral Market Max
0.0,0.0
119.2233350814501,119.2233350814501
203.08901035913493,203.08901035913493
352.28808875588857,352.28808875588857
399.8998207632328,399.8998207632328
326.20358258316264,326.20358258316264
577.08703489462,577.08703489462
540.8854523406803,540.8854523406803
635.0218812194198,635.0218812194198
843.4655566520833,843.4655566520833
883.6231834370196,883.6231834370196
1176.4850557336622,1176.4850557336622
893.4421408938051,893.4421408938051
1004.3948835120009,1004.3948835120009
853.3221627041266,853.3221627041266
1274.616834586148,1274.616834586148
1092.0919435754458,1092.0919435754458
1442.1612438950015,1442.1612438950015
1241.3320613472697,1241.3320613472697
1386.4062166983322,1386.4062166983322
1322.7412941585562,1322.7412941585562
1321.568789745721,1321.568789745721
1525.9401000175894,1525.9401000175894
1552.5344490505795,1552.5344490505795
1369.6470122924238,1369.6470122924238
1292.7197410213266,1292.7197410213266
1597.3395543421684,1597.3395543421684
1766.14790141513,1766.14790141513
1577.2633572729646,1577.2633572729646
1875.0197554080205,1875.0197554080205
1731.1247789777462,1731.1247789777462
2058.6762724684177,2058.6762724684177
1787.7397680358972,1787.7397680358972
2137.0270298543437,2137.0270298543437
2384.2919006689026,2384.2919006689026
1970.8532443662953,1970.8532443662953
1961.78712097891,1961.78712097891
1874.415756762115,1874.415756762115
2059.3032334175223,2059.3032334175223
2069.9074648069745,2069.9074648069745
1937.840192605423,1937.840192605423
2049.2361578122855,2049.2361578122855
2139.281274281151,2139.281274281151
2010.4488735126197,2010.4488735126197
2206.930831150574,2206.930831150574
2354.2107355323533,2354.2107355323533
2234.691924868868,2234.691924868868
2130.8374831711153,2130.8374831711153
2261.324527147257,2261.324527147257
2151.4061784019614,2151.4061784019614
2237.8862509341816,2237.8862509341816
2198.6264617513734,2198.6264617513734
2357.825059671719,2357.825059671719
1869.1938502607627,1869.1938502607627
2169.520002095229,2169.520002095229
1991.919757366788,1991.919757366788
1973.343565910698,1973.343565910698
1997.4366134121155,1997.4366134121155
1900.764674896509,1900.764674896509
2005.1411467826001,2005.1411467826001
1890.2871726163066,1890.2871726163066
1786.92176703129,1786.92176703129
1894.2558061446762,1894.2558061446762
1726.3814109868254,1726.3814109868254
1888.015217190823,1888.015217190823
1891.8111345684883,1891.8111345684883
1719.9889094495084,1719.9889094495084
1835.6604397512347,1835.6604397512347
1967.257840805174,1967.257840805174
1687.0197700648569,1687.0197700648569
1840.5325510038747,1840.5325510038747
1610.248567525934,1610.248567525934
1722.2938203454578,1722.2938203454578
1588.7565715160708,1588.7565715160708
1655.5661289304844,1655.5661289304844
1821.577033667727,1821.577033667727
1674.3377823996307,1674.3377823996307
1316.5495066280855,1316.5495066280855
1323.3296886646276,1323.3296886646276
1376.0235614506055,1376.0235614506055
1239.8554247704305,1239.8554247704305
1096.0638668212887,1096.0638668212887
1364.4484372317347,1364.4484372317347
1169.3055781300027,1169.3055781300027
1034.5475062976911,1034.5475062976911
1052.830521343043,1052.830521343043
944.8121276890706,944.8121276890706
988.5897735821054,988.5897735821054
848.7668205832997,848.7668205832997
671.5927008304279,671.5927008304279
720.5509589378053,720.5509589378053
534.9269993575472,534.9269993575472
532.6271431709465,532.6271431709465
509.554515458025,509.554515458025
546.7551267079107,546.7551267079107
515.2446033881643,515.2446033881643
354.0405933428192,354.0405933428192
353.3384956187656,353.3384956187656
197.03134718754518,197.03134718754518
82.71261589643473,82.71261589643473
0.0,0.0
