P,num_trading_agents_BM
0.03,16
P,num_trading_agents_BM
0.01,4
P,num_trading_agents_BM
0.02,10
0.04,20
0.05,25
0.06,27
0.07,26
0.08,33
0.09,39
0.1,41
0.11,49
0.12,48
0.13,52
0.14,52
0.15,53
0.16,58
0.17,66
0.18,67
0.19,68
0.2,72
0.21,73
0.22,75
0.23,82
0.24,80
0.25,82
0.26,88
0.27,94
0.28,90
0.29,93
0.3,96
0.31,97
0.32,96
0.33,98
0.34,108
0.35,106
0.36,105
0.37,118
0.38,121
0.39,111
0.4,118
0.41,112
0.42,119
0.43,120
0.44,118
0.45,119
0.46,120
0.47,124
0.48,128
0.49,130
0.5,128
0.51,128
0.52,121
0.53,115
0.54,125
0.55,131
0.56,121
0.57,122
0.58,125
0.6,113
0.59,125
0.61,125
0.62,121
0.64,114
0.63,113
0.66,113
0.65,120
0.68,115
0.67,118
0.69,107
0.7,111
0.71,106
0.72,103
0.73,105
0.74,102
0.75,101
0.76,91
0.77,89
0.78,83
0.79,78
0.8,80
0.81,72
0.82,72
0.83,73
0.84,70
0.85,62
0.86,61
0.87,58
0.88,52
0.89,44
0.9,44
0.91,38
0.92,33
0.94,28
0.93,32
0.95,24
0.96,18
0.99,4
0.98,9
0.97,13
