agent_id,c,alpha,beta,acbar,sigma,pro,cbar,wtp_wta_max
1,0.7808888802960995,29.49965386845093,1.8888509372335522,7.808888802960994,0.0037452062909179265,1,7.808888802960994,115.17975839228572
2,0.6834254368197099,24.517937983845123,1.7937536900834614,6.834254368197099,0.007022970016250993,1,6.834254368197099,83.78091238263956
3,1.1735882441904721,30.110147377065246,1.2828241730486525,11.735882441904721,0.012651594249474608,1,11.735882441904721,176.68457496283173
4,1.326529206526393,31.948150018821302,1.2042007767955487,13.265292065263928,0.019013735720211374,1,13.265292065263928,211.90077047226592
5,0.7657614503096313,20.379405219517892,1.3306627809011276,7.657614503096313,0.022686389632192543,1,7.657614503096313,78.02881448672845
6,1.1442001864089508,28.178377684463218,1.231356978401677,11.442001864089507,0.02817406636102926,1,11.442001864089507,161.20852499632312
7,0.6910728639447865,22.807720505216793,1.6501675651844887,6.910728639447864,0.03148850776599238,1,6.910728639447864,78.808983647962
8,1.1860719180685941,39.91538957010669,1.6826715548204332,11.86071918068594,0.03717700470981777,1,11.86071918068594,236.71261333935797
9,0.9139691530954761,34.50248872138985,1.8875083805911343,9.13969153095476,0.04156047476330369,1,9.13969153095476,157.67105198187448
10,0.9729921802968469,33.90911069576973,1.742517123078241,9.729921802968468,0.046227024033770873,1,9.729921802968468,164.9664977390206
11,1.584163735654273,36.47889634235575,1.151361299382657,15.84163735654273,0.05382480156438026,1,15.84163735654273,288.9427235112564
12,1.1160921225897071,29.082999989053953,1.302894241452563,11.160921225897072,0.059177669743501894,1,11.160921225897072,162.29653594529827
13,1.2674734909281236,39.56544660504655,1.5607997677361385,12.674734909281234,0.06525657522105942,1,12.674734909281234,250.74077364314311
14,1.1992220546834589,33.99203688641851,1.4172536584724043,11.992220546834588,0.07100814128472901,1,11.992220546834588,203.82000158903364
15,1.5734716345855093,36.79051019528549,1.1690871759813137,15.734716345855093,0.07855463863297664,1,15.734716345855093,289.44412107105353
16,0.7926036717480676,30.266598317742975,1.9093147935456034,7.926036717480676,0.08235603001213154,1,7.926036717480676,119.94708478983483
